X-DIS-SPH,Y-DIS-SPH,X-SPH-CYL,Y-SPH-CYL,X-CYL-GYR ,Y-CYL-GYR ,X-GYR-LAM,Y-GYR-LAM
0.099720743390056,49.9633366233773,0.150255487442164,49.9826472922074,0.313584763839007,49.9868804204907,0.332410691396557,49.7966751865827
0.102378019013201,46.1402164142518,0.155347316075176,46.61216903423,0.314468329761736,46.290921708844,0.333846846914115,46.1713839225971
0.108119957002557,43.597398860491,0.159941361089748,43.8194207140211,0.314426565716149,43.073720203866,0.335475644692009,43.3926862737893
0.11897591252725,38.8626517347086,0.164326585876386,41.3230380362395,0.315721251129347,40.7178301321452,0.337073119435713,40.5832857198271
0.112115007927204,41.7158584957548,0.169338271346828,38.6568439109016,0.31567948708376,37.8248139612892,0.33915730594145,37.474208131535
0.130992686879849,34.728817306436,0.175185237729012,36.0104585536821,0.317600633180763,34.4835701992438,0.342366712213868,34.6553605298331
0.139227962496982,32.363872555514,0.181867485022936,33.3031411783435,0.319688835460114,30.7188501432966,0.346417824635809,31.794425742489
0.152489981340538,28.9000368015694,0.18980265368447,30.669884594026,0.323801025932038,27.2500497480272,0.350529976816685,28.8601731792805
0.169563020650554,25.4259357040635,0.199826024625356,27.9988780765177,0.327109985099039,24.4525956703571,0.356441195576695,25.9127987614339
0.186622065254455,22.8858700323029,0.211311137161787,25.3052117531687,0.333470970503832,21.6280908921663,0.362705802414748,23.568206499005
0.209431755110371,20.3151768422323,0.225093272205505,22.7336702258035,0.342659060532977,18.8482358127824,0.372102229881693,20.4568084984602
0.235743103830196,17.7231111208763,0.242634171352055,20.1729631315727,0.357694116944306,16.2648312194946,0.391105353413925,16.735822502237
0.272077823490907,15.2996291722341,0.265813216652853,17.6297317419608,0.383684146338428,13.6898525351806,0.40927271324428,14.1983960279815
0.314259509533801,13.3680285425518,0.299642093578343,15.0623584685512,0.424934230339414,11.7734302585798,0.437832799460403,11.9042556192814
0.356441195576695,12.0855348395278,0.340988498709496,12.9721992580914,0.49953133672324,10.4790460978587,0.482986253705377,10.5680634345018
0.398622881619589,11.2589445595046,0.38317018475239,11.7679866777231,0.46924219910847,10.7430127227722,0.498711487103671,10.4948092297865
0.440804567662483,10.6924060611237,0.425351870795284,10.9243736886166,0.314710252600297,47.1420494599757,,
0.482986253705377,10.4828218843368,0.467533556838178,10.8183503068161,0.314710252600297,44.2883039189531,,
0.49912937645135,10.4988518859468,0.499258053516717,10.5343220716219,0.314710252600297,42.005307486135,,
,,,,0.315898959881129,38.2953322744274,,
,,,,0.317087667161962,36.2976043873334,,
,,,,0.318276374442794,32.730316452677,,
,,,,0.319465081723626,31.7313995049409,,
,,,,0.322436849925706,28.520670750345,,
,,,,0.326002971768202,25.0958580759833,,
,,,,0.329569093610698,23.0979181721329,,
,,,,0.338484398216939,19.9580030141716,,
,,,,0.352154531946508,17.0316947382741,,
,,,,0.37295690936107,14.6041558817865,,
,,,,0.402080237741456,12.6752804363305,,
,,,,0.413967310549777,12.1748148828696,,
,,,,0.441901931649331,11.2448563851496,,
,,,,0.459138187221397,10.886601071038,,
,,,,0.477563150074294,10.6709270255993,,
,,,,0.333135215453195,48.2105609079971,,
,,,,0.315898959881129,39.2941432137853,,
,,,,0.32481426448737,26.0234313851938,,
